1,1,What's your favorite lazy day activity?
1,1,What song can cure any sadness?
1,0,What's the best vacation destination for a family?
1,1,Where do you want to travel that's not in the U.S. or Europe?
1,1,What hobby do you want to try?
1,1,At 13, what did you want to be when you grew up?
1,0,What was the last thing you read (and I mean anything)?
1,0,What are introverts really thinking about all the time?
1,0,What would lowkey be great on ice cream?
1,1,What TV show makes you happy every time?
0,1,During what holiday do you get the most wild?
0,0,With what food would you most like to be force fed?
0,1,What's the best movie to watch on a weekday at 1 am?
0,0,If you had a body pillow, who would you want printed on it?
0,1,What’s your guilty pleasure?
1,0,What would spice up a camping trip?
1,1,What character from a TV show/movie/book do you wish you could be?
0,1,Who was your first celebrity crush?
1,1,What's one thing that can instantly make your day better?
1,1,What do you wish didn't exist?
1,0,What is the perfect lunch food?
1,1,What song always gets you groovin'?
1,0,What's the best thing since sliced bread?
0,0,What activity instantly calms you?
1,0,What's the ideal way to end a birthday?
1,1,What would you fill your time with if making money wasn't an issue?
1,1,What's your least favorite thing that is good for you?
0,0,With what should you season a grilled squash?
1,0,Who is the least funny person?
1,1,What phone app do you hate the most?
1,0,What's your parents' best dish?
1,1,What have you changed your mind about?
1,1,What is the best board game to play with strangers?
0,0,What is the best beverage to drink on a boring day?
0,0,What possession do you feel weirdly attached to?
1,1,What is something you'd rather die than live without?
0,0,What's the best cure when you can't fall asleep?
1,0,What animal would make for the most interesting roommate?
1,1,What would be the first thing you'd buy if you won the lottery?
1,0,What would you name your boat if you had one?
1,0,What’s the closest thing to real magic?
1,1,What is the best personality trait to have?
1,0,What is the most fun you can have on a device without internet?
1,1,What’s the most useless talent you have?
0,0,What event will mark the moment where you've peaked in life?
0,0,Who or what do you wish you smelled like?
0,0,What celebrity of your own gender makes you weak in the knees?
1,0,What internal organ is objectively the coolest?
0,0,Injuring yourself by falling off of what would be the hardest to explain?
0,0,Which fictional character would be the most boring to meet in real life?
1,1,What is the worst purchase you've ever made?
1,0,What would you change your name to, given the chance?
1,0,What one word is the worst insult?
0,1,Where do you belong?
0,0,What would be the weirdest thing to have in your kitchen cupboard?
1,0,If you had a company, what would you name it?
1,1,Who is your hero?
0,0,What are you addicted to?
1,0,Who probably knows the meaning of life?
1,1,What is the most overrated thing?
1,1,What is the best gift you ever received?
1,1,What is the worst gift you ever received?
1,0,What do you want to put on a t-shirt?
1,0,What would you rename the color red?
1,0,What is the ideal number of legs for a bug?
1,0,What's the most fun thing you can do in a garage?
1,0,Which Disney princess would win the Hunger Games?
0,1,What language do you wish you knew?
1,0,What's the funniest sound?
0,0,What's the most fun type of precipitation?
0,0,What do kids these days do that really annoys you?
1,0,What do you wish you could put on your wall?
0,0,What would make for a really interesting hair product?
0,0,Who do you wish was your mailman?
0,0,Who is secretly Santa Claus?
1,1,What food would you eat every single day if you had to?
1,1,What movie do you hate the most?
1,1,What is your favorite thing you own?
1,1,Where is the best place to spend a free Saturday?
1,1,What color best describes you?
1,1,What is something you really want to learn?
1,0,What would you rename the season winter to?
0,0,If you had to get driving lessons from someone, who would it be?
1,0,What is your favorite flower?
1,1,What is the best pizza topping?
1,0,What design would make for the ugliest Christmas sweater?
1,1,What is your least favorite Halloween candy?
1,0,With what would you decorate a traffic cone?
0,0,With whom would you like to go cliff-diving?
0,1,Who would you follow if they jumped off of a cliff?
0,1,Who is the main character in your life?
0,0,What state has the best shape?
1,1,For what item would you go on an epic quest?
1,0,If you were a farmer, what would you grow?
0,0,What would be a good slang term for a fork?
0,1,What would you embroider on a quilt?
1,0,What is your favorite thing to doodle?
0,0,With what would you fill a bathtub other than water?
0,1,What's your favorite mythological creature?
0,0,What would be the best material for a Christmas ornament?
0,0,Besides dolls, what is the creepiest child's toy?
1,1,What supernatural creature is most like you?
1,0,What word really gets on your nerves?
1,0,What would you rename fruit loops?
1,0,As a makeup artist, what would inspire your next look?
0,0,If you had to put a drawing on a fire hydrant, what would it be?
1,0,What's the best piece of playground equipment?
0,0,What's something you shouldn't have more than one of?
0,0,What's the weirdest word a baby could say as his first?
0,0,What is an activity that feels illegal but actually isn't?
0,0,For what would you swap your firstborn child?
0,0,What is the best reason to be awake at 3 A.M.?
0,0,What's the worst thing to use as pasta sauce?
1,0,If you were a king/queen in Candyland, what would you build your castle out of?
0,0,If you could make anything float, what would it be?
0,0,If you could develop an allergy to a food, what would it be?
1,1,What's your favorite type of tree?
0,0,What animal should really pull Santa's sleigh?
0,0,What would you rename vodka?
1,0,What would name your new album if you were a famous singer?
1,0,What popsicle flavor do you want to invent?
1,0,What's your favorite jelly bean flavor?
0,0,If there was a fifth Hogwarts house, what would its mascot be?
0,0,What's the most fun thing to shape a shrub into?
0,0,What's the most awkward thing to wear into the DMV?
0,0,What's the most efficient murder weapon?
0,0,Where's the best place to commit arson?
0,0,Where's the best place to die?
0,0,Where's the worst place to die?
1,0,What's your favorite kind of rock/mineral?
1,0,What animated character would win in a fight?
1,1,What animated character is most relatable?
0,1,What would you get a tattoo of?
0,0,What tattoo would you most regret getting?
0,0,What theme would make for the most interesting wedding?
0,0,What piece of modern technology would you show Thomas Edison?
0,0,Which musical artist would you introduce to Mozart?
0,0,What's the best place to hold a séance?
0,0,If you could make a commercial, what would you advertise?
0,0,If you could replace the Red Solo party cup with something else, what would it be?
0,0,What would you memorialize in a stained glass window?
0,0,What fashion trend would you bring back?
0,0,What would be the worst thing to see in a mirror?
0,0,What is Adele going to call her next album?
0,0,What is Elon Musk naming his next child?
0,0,What is the best attention-grabbing clothing item?
1,0,What vegetable would you become for a day?
0,0,What's the worst place to go on a first date?
